species,bio1_mean_temp,bio12_precip,bio4_temp_seasonality,bio15_precip_seasonality,bio5_max_temp,bio6_min_temp,ndvi_mean,alan_nightlight,elevation,raw_edge_density,raw_entropy,raw_luminance,raw_contrast,raw_saturation
Abablemma bilineata,23.02777768,598.4,546.5711613333334,54.73648810666667,35.75333333333333,8.46,0.48572997946666663,9.94257024,114.02666666666667,0.29686843257074297,6.967749235471214,127.22721425600682,52.3661554885996,80.54576985918469
Abablemma brimleyana,16.24069701818182,1206.2072727272728,738.8203033454546,18.939684507272727,31.443636363636365,0.5774545454545454,0.6314172592,3.3863372376,36.8,0.2853050806489328,6.864797454858808,121.37681714973452,52.52900110173507,85.29894469901498
Abablemma duomaculata,21.056649691780823,1015.7945205479452,617.898295479452,35.7376209109589,34.02054794520548,6.344520547945205,0.5863133576027397,8.463209517465753,39.43150684931507,0.27537520166990687,7.010533138274122,123.30249294278312,45.87652232796318,67.32549621773059
Abablemma ulopus,24.32896823809524,1867.7777777777778,72.31769053968253,87.21537738095238,30.72857142857143,18.976190476190474,0.7393174647619047,0.3427958138095238,485.6031746031746,0.26229523419745937,7.291990946335401,124.35165502412416,40.563410575860985,84.45958970778322
Abacena accincta,23.100000085714285,2872.190476190476,78.49771589523809,47.14078845714286,28.89904761904762,17.785714285714285,0.7932547704761904,0.339010160952381,616.5904761904762,0.21683387175491736,7.184810582112653,88.05717218599459,49.57259336780783,105.59900004604154
Abacena mundula,19.7822699862069,973.9344827586207,671.3806804068965,38.748435234482756,34.46793103448276,3.948620689655172,0.5041431036206896,16.289483702,247.7896551724138,0.20040767509128357,6.826728978178362,93.65901238744088,37.89988544923164,83.06535009783707
Abagrotis alternata,9.589526552140079,1075.8832684824902,946.1864061089494,16.65886846770428,28.228015564202337,-8.970428015564202,0.5746770407392996,4.169255484046692,228.98054474708172,0.2455602682719315,6.518355394610551,122.81732397637728,37.86555332993925,90.52837543725263
Abagrotis anchocelioides,9.10972214,1034.7333333333333,967.3910139999999,18.712108337777778,27.855555555555554,-9.668888888888889,0.5478833306666667,7.881969809111111,238.13333333333333,0.2871708954354583,6.979292651823244,113.53203832755098,42.70005980531544,125.15139006996928
Abagrotis apposita,7.576944444444444,865.0222222222222,710.857684,41.84944926666667,25.864444444444448,-5.46,0.565911112888889,2.1269037866666665,826.5111111111111,0.2539772095206411,6.737522534807747,103.6159182551576,40.22133672176274,122.40917268705147
Abagrotis bimarginalis,6.931586108064517,497.80645161290323,759.9996348387097,52.550143258064516,25.799999999999997,-9.7,0.41900806096774196,0.9297091483870967,2261.967741935484,0.23660253093397304,7.261268533122887,107.03782185602243,49.77917104081116,88.89076474656194
Abagrotis brunneipennis,3.5702160999999997,902.4444444444445,1137.8609133333334,25.449705314814814,24.46666666666667,-18.44814814814815,0.5087222274074074,0.44161957037037036,385.0,0.2350780384538627,5.615691943096191,122.5796853309285,47.81682912505367,125.22112549307755
Abagrotis cupida,6.94326921025641,890.4102564102565,1044.691678974359,24.39462273846154,26.846153846153847,-13.028205128205128,0.5024038382051282,1.9513404025641028,274.2564102564103,0.21377917446640723,6.689603507768909,117.64862056577819,40.06365363050559,118.09398666562505
Abagrotis denticulata,16.722794588235296,392.4117647058824,419.31430294117644,89.40773088235294,30.2235294117647,5.241176470588235,0.4421323511764706,1.2895624941176471,446.1764705882353,0.1275944323246435,6.4877335870234285,129.66042236556603,32.18886379340783,47.553755553500764
Abagrotis discoidalis,7.998903436842106,388.2631578947368,796.6978921052631,53.333243421052636,27.77368421052632,-8.26842105263158,0.3181578910526316,0.9208196905263158,1790.842105263158,0.29176510467714145,6.638925249534201,146.70521189127277,46.97578981335499,84.5991595648851
Abagrotis duanca,6.4797916099999995,470.65,823.647514,42.8116783,27.119999999999997,-9.55,0.38305000199999995,0.350651265,1393.65,0.2679706062973502,6.868513290719946,107.33436441062597,40.78632254277943,89.61149416304424
Abagrotis forbesi,9.111029447058824,473.94117647058823,775.185814117647,53.672036588235294,28.352941176470587,-5.835294117647059,0.3707647076470588,0.26257143294117646,1398.2941176470588,0.24485176634221706,6.846675273720676,138.44545892976313,33.744492737373484,76.39684507942677
Abagrotis glenni,8.3991665875,542.95,787.28422725,52.023839475,27.7125,-7.325,0.36818125075,8.97800862,1295.575,0.2273781021164362,7.0343641794097,102.3306030806736,38.81009930195854,69.48327786324633
Abagrotis hermina,3.7633332100000003,482.35,1068.9051220000001,61.710431799999995,23.9,-16.695,0.2492499955,45.1912656,727.4,0.24783577226626258,7.130269941061959,89.02276822321576,40.43621635249959,92.53877304172372
Abagrotis mirabilis,7.0826755105263155,504.35087719298247,779.2226908771929,46.40510803508772,26.935087719298245,-8.8,0.40476754368421053,1.6993713368421053,1715.1052631578948,0.30196285855387744,7.139893854352379,102.42231188478813,49.04710031078966,81.1287351670823
Abagrotis nanalis,6.0240908654545455,367.9818181818182,870.8282532727274,33.31213912727272,25.921818181818182,-10.627272727272727,0.38150454163636366,0.6637549727272727,1034.8545454545454,0.31168343722271674,7.1502668007444585,106.78164189616733,43.25733934856741,82.37936203025106
Abagrotis nefascia,8.038499968,632.28,883.1175616,33.114521808,27.704,-9.628,0.44504999679999996,11.060144631999998,940.96,0.2557785299772415,6.942980153800695,118.95438068852016,32.978029437127155,109.05811379222561
Abagrotis orbis,12.95935378367347,485.8775510204082,712.0166181632653,64.70611493877551,30.804081632653062,-2.536734693877551,0.3689540855102041,2.229733002857143,1514.3673469387754,0.2140526577663043,6.943722699637171,140.71571043014558,39.98656996355055,78.9963471861767
Abagrotis placida,5.063912399491525,622.457627118644,882.4976683050847,45.336544525423726,24.816949152542374,-11.952542372881357,0.4759406759322034,1.1502848559322034,1083.0169491525423,0.25807964264048766,7.086147203876611,112.41620806117695,39.65418777596726,83.73196978742587
Abagrotis reedi,10.870138756666668,529.7,640.7246423333333,73.95218576666666,27.753333333333334,-3.1700000000000004,0.43675000133333336,10.761043436666666,1461.0666666666666,0.1980476623042132,6.795844762243763,109.92335573425339,35.067060973655636,81.96881599921959
Abagrotis scopeops,7.561419744444444,751.3888888888889,729.5827448148149,48.121885722222224,25.70925925925926,-5.92037037037037,0.5222222218518519,1.1904784557407408,935.2962962962963,0.29143777469067206,6.956459577763533,111.80361766851411,39.51680559327521,78.12946894072212
Abagrotis trigona,7.695228541935483,534.983870967742,787.8760546774193,43.47928064516129,27.108064516129033,-7.453225806451614,0.4271612861290322,3.661997511290322,1152.725806451613,0.24073069616447354,6.777400690915808,137.02603786302817,38.87559926874117,102.12555168690882
Abagrotis vittifrons,6.487226714754098,382.95081967213116,820.6974981967213,36.155525098360656,26.232786885245904,-9.239344262295083,0.37557786704918034,1.2544283918032786,1307.2622950819673,0.27306540111015914,7.044320136523643,132.7227946830683,59.81282937561926,71.02503235074397
